packet_number,length,bssid,ta,ra,fc_type_subtype,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
76,553,d8:21:da:26:2a:75,d8:21:da:26:2a:75,d4:76:a0:d4:90:40,0x0005,6,64,5320,5,True,False,-89,,,959797391236,1742833365.5435777,2025-03-24 18:22:45.543578
77,553,d8:21:da:26:2a:75,d8:21:da:26:2a:75,d4:76:a0:d4:90:40,0x0005,6,64,5320,5,True,False,-89,,,959797392078,1742833365.543897,2025-03-24 18:22:45.543897
78,553,d8:21:da:26:2a:75,d8:21:da:26:2a:75,d4:76:a0:d4:90:40,0x0005,6,64,5320,5,True,False,-89,,,959797392876,1742833365.5449088,2025-03-24 18:22:45.544909
79,553,d8:21:da:26:2a:75,d8:21:da:26:2a:75,d4:76:a0:d4:90:40,0x0005,6,64,5320,5,True,False,-89,,,959797394370,1742833365.5463974,2025-03-24 18:22:45.546397
80,553,d8:21:da:26:2a:75,d8:21:da:26:2a:75,d4:76:a0:d4:90:40,0x0005,6,64,5320,5,True,False,-89,,,959797395168,1742833365.5470028,2025-03-24 18:22:45.547003
81,493,d4:76:a0:d4:8c:18,d4:76:a0:d4:8c:18,ff:ff:ff:ff:ff:ff,0x0008,6,64,5320,5,False,False,-70,,,2263143936054,1742833365.5523782,2025-03-24 18:22:45.552378
82,177,ff:ff:ff:ff:ff:ff,72:c2:84:26:cf:bf,ff:ff:ff:ff:ff:ff,0x0004,6,64,5320,5,False,False,-91,,,,1742833365.5538177,2025-03-24 18:22:45.553818
83,478,d4:76:a0:d4:8c:18,d4:76:a0:d4:8c:18,72:c2:84:26:cf:bf,0x0005,6,64,5320,5,False,False,-70,,,2263143938854,1742833365.5551944,2025-03-24 18:22:45.555194
84,66,,,d4:76:a0:d4:8c:18,0x001d,6,64,5320,5,False,False,-92,,,,1742833365.5552046,2025-03-24 18:22:45.555205
85,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-82,,,,1742833365.5884502,2025-03-24 18:22:45.588450
86,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-85,,,,1742833365.5893922,2025-03-24 18:22:45.589392
87,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-85,,,,1742833365.5899398,2025-03-24 18:22:45.589940
88,460,d8:21:da:26:2a:75,d8:21:da:26:2a:75,ff:ff:ff:ff:ff:ff,0x0008,6,64,5320,5,False,False,-89,,,959797453235,1742833365.6053176,2025-03-24 18:22:45.605318
89,454,08:aa:89:74:ed:c5,08:aa:89:74:ed:c5,ff:ff:ff:ff:ff:ff,0x0008,6,64,5320,5,False,False,-91,,,1326763212865,1742833365.6419888,2025-03-24 18:22:45.641989
90,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-83,,,,1742833365.6495254,2025-03-24 18:22:45.649525
91,493,d4:76:a0:d4:8c:18,d4:76:a0:d4:8c:18,ff:ff:ff:ff:ff:ff,0x0008,6,64,5320,5,False,False,-64,,,2263144038454,1742833365.6548347,2025-03-24 18:22:45.654835
92,177,ff:ff:ff:ff:ff:ff,5a:c1:a9:69:07:37,ff:ff:ff:ff:ff:ff,0x0004,6,64,5320,5,False,False,-93,,,,1742833365.6908286,2025-03-24 18:22:45.690829
93,66,,,a0:25:d7:1f:9e:55,0x001d,6,64,5320,5,False,False,-93,,,,1742833365.6913412,2025-03-24 18:22:45.691341
94,478,d4:76:a0:d4:8c:18,d4:76:a0:d4:8c:18,5a:c1:a9:69:07:37,0x0005,6,64,5320,5,False,False,-65,,,2263144075732,1742833365.6920018,2025-03-24 18:22:45.692002
95,478,d4:76:a0:d4:8c:18,d4:76:a0:d4:8c:18,5a:c1:a9:69:07:37,0x0005,6,64,5320,5,True,False,-65,,,2263144076476,1742833365.6927495,2025-03-24 18:22:45.692750
96,66,,,d4:76:a0:d4:8c:18,0x001d,6,64,5320,5,False,False,-93,,,,1742833365.692757,2025-03-24 18:22:45.692757
97,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-85,,,,1742833365.7020779,2025-03-24 18:22:45.702078
98,460,d8:21:da:26:2a:75,d8:21:da:26:2a:75,ff:ff:ff:ff:ff:ff,0x0008,6,64,5320,5,False,False,-87,,,959797556210,1742833365.70789,2025-03-24 18:22:45.707890
99,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-85,,,,1742833365.708784,2025-03-24 18:22:45.708784
100,177,ff:ff:ff:ff:ff:ff,5a:c1:a9:69:07:37,ff:ff:ff:ff:ff:ff,0x0004,6,64,5320,5,False,False,-92,,,,1742833365.710412,2025-03-24 18:22:45.710412
101,66,,,a0:25:d7:1f:9e:55,0x001d,6,64,5320,5,False,False,-90,,,,1742833365.7110734,2025-03-24 18:22:45.711073
102,478,d4:76:a0:d4:8c:18,d4:76:a0:d4:8c:18,5a:c1:a9:69:07:37,0x0005,6,64,5320,5,False,False,-66,,,2263144095440,1742833365.7118552,2025-03-24 18:22:45.711855
103,66,,,d4:76:a0:d4:8c:18,0x001d,6,64,5320,5,False,False,-91,,,,1742833365.7118812,2025-03-24 18:22:45.711881
104,66,,,a0:25:d7:1f:9e:56,0x001d,6,64,5320,5,False,False,-90,,,,1742833365.7122118,2025-03-24 18:22:45.712212
105,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-85,,,,1742833365.733019,2025-03-24 18:22:45.733019
106,454,08:aa:89:74:ed:c5,08:aa:89:74:ed:c5,ff:ff:ff:ff:ff:ff,0x0008,6,64,5320,5,False,False,-92,,,1326763315297,1742833365.7444022,2025-03-24 18:22:45.744402
107,186,ff:ff:ff:ff:ff:ff,4e:b2:21:75:ae:7a,ff:ff:ff:ff:ff:ff,0x0004,6,64,5320,5,False,False,-75,,,,1742833365.7448378,2025-03-24 18:22:45.744838
108,174,ff:ff:ff:ff:ff:ff,ea:46:33:33:17:2c,ff:ff:ff:ff:ff:ff,0x0004,6,64,5320,5,False,False,-75,,,,1742833365.7452347,2025-03-24 18:22:45.745235
109,564,08:aa:89:74:ed:c5,08:aa:89:74:ed:c5,ea:46:33:33:17:2c,0x0005,6,64,5320,5,False,False,-91,,,1326763317401,1742833365.746232,2025-03-24 18:22:45.746232
110,66,,,08:aa:89:74:ed:c5,0x001d,6,64,5320,5,False,False,-78,,,,1742833365.7462454,2025-03-24 18:22:45.746245
111,478,d4:76:a0:d4:8c:18,d4:76:a0:d4:8c:18,ea:46:33:33:17:2c,0x0005,6,64,5320,5,False,False,-67,,,2263144130677,1742833365.7469747,2025-03-24 18:22:45.746975
112,478,d4:76:a0:d4:8c:18,d4:76:a0:d4:8c:18,ea:46:33:33:17:2c,0x0005,6,64,5320,5,True,False,-67,,,2263144131488,1742833365.7487266,2025-03-24 18:22:45.748727
113,66,,,d4:76:a0:d4:8c:18,0x001d,6,64,5320,5,False,False,-78,,,,1742833365.7487562,2025-03-24 18:22:45.748756
114,493,d4:76:a0:d4:8c:18,d4:76:a0:d4:8c:18,ff:ff:ff:ff:ff:ff,0x0008,6,64,5320,5,False,False,-70,,,2263144140854,1742833365.7576077,2025-03-24 18:22:45.757608
115,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-83,,,,1742833365.7621646,2025-03-24 18:22:45.762165
116,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-84,,,,1742833365.7660174,2025-03-24 18:22:45.766017
117,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-84,,,,1742833365.7728157,2025-03-24 18:22:45.772816
118,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-85,,,,1742833365.772838,2025-03-24 18:22:45.772838
