packet_number,length,bssid,ta,ra,fc_type_subtype,fc_type,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
65,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,435814505,1594650017.397624,2020-07-13 17:20:17.397624
66,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,435916889,1594650017.499987,2020-07-13 17:20:17.499987
67,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,436019309,1594650017.602484,2020-07-13 17:20:17.602484
68,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,436121669,1594650017.704736,2020-07-13 17:20:17.704736
69,135,ff:ff:ff:ff:ff:ff,00:20:a6:fc:b0:36,ff:ff:ff:ff:ff:ff,0x0004,0,1,1,2412,4,False,False,0,,,,1594650017.712981,2020-07-13 17:20:17.712981
70,135,ff:ff:ff:ff:ff:ff,00:20:a6:fc:b0:36,ff:ff:ff:ff:ff:ff,0x0004,0,1,1,2412,4,False,False,0,,,,1594650017.713977,2020-07-13 17:20:17.713977
71,135,ff:ff:ff:ff:ff:ff,00:20:a6:fc:b0:36,ff:ff:ff:ff:ff:ff,0x0004,0,1,1,2412,4,False,False,0,,,,1594650017.714977,2020-07-13 17:20:17.714977
72,135,ff:ff:ff:ff:ff:ff,00:20:a6:fc:b0:36,ff:ff:ff:ff:ff:ff,0x0004,0,1,1,2412,4,False,False,0,,,,1594650017.716101,2020-07-13 17:20:17.716101
73,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,436224108,1594650017.80724,2020-07-13 17:20:17.807240
74,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,436326500,1594650017.909616,2020-07-13 17:20:17.909616
75,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,436428898,1594650018.011998,2020-07-13 17:20:18.011998
76,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,436531285,1594650018.114374,2020-07-13 17:20:18.114374
77,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,436633709,1594650018.216883,2020-07-13 17:20:18.216883
78,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,436736074,1594650018.319252,2020-07-13 17:20:18.319252
79,249,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,01:00:5e:7f:ff:fa,0x0020,2,9,1,2412,6,False,False,-36,,,,1594650018.377249,2020-07-13 17:20:18.377249
80,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,436838507,1594650018.421634,2020-07-13 17:20:18.421634
81,384,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,33:33:00:00:01:8c,0x0020,2,9,1,2412,6,False,False,-36,,,,1594650018.431879,2020-07-13 17:20:18.431879
82,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,436940890,1594650018.524009,2020-07-13 17:20:18.524009
83,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,437043257,1594650018.626384,2020-07-13 17:20:18.626384
84,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,437145685,1594650018.728893,2020-07-13 17:20:18.728893
85,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,437248081,1594650018.831263,2020-07-13 17:20:18.831263
86,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,437350507,1594650018.93364,2020-07-13 17:20:18.933640
87,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,437452905,1594650019.036018,2020-07-13 17:20:19.036018
88,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,437555261,1594650019.138399,2020-07-13 17:20:19.138399
89,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,437657674,1594650019.240781,2020-07-13 17:20:19.240781
90,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,437760070,1594650019.343152,2020-07-13 17:20:19.343152
91,311,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,f8:e4:e3:67:9c:ba,0x0005,0,9,1,2412,6,False,False,-36,,,437854912,1594650019.438048,2020-07-13 17:20:19.438048
92,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,437862679,1594650019.445777,2020-07-13 17:20:19.445777
93,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,437965038,1594650019.548158,2020-07-13 17:20:19.548158
94,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,438067264,1594650019.650411,2020-07-13 17:20:19.650411
95,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,438169652,1594650019.75279,2020-07-13 17:20:19.752790
96,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,438272102,1594650019.855292,2020-07-13 17:20:19.855292
